date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:16	88377/88377	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20May%202021%2011:49:16%20GMT	https://www.ezglobalyazilim.com/index.html	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/index.html	(from )
14:49:17	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2003%20May%202021%2011:49:16%20GMT	https://www.ezglobalyazilim.com/robots.txt		(from )
14:49:17	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2003%20May%202021%2011:49:17%20GMT	https://www.ezglobalyazilim.com/img/apple-touch-icon.png	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/img/apple-touch-icon.png	(from https://www.ezglobalyazilim.com/index.html)
14:49:17	270515/270515	---M--	200	added ('OK')	image/png	date:Mon,%2018%20May%202020%2015:51:13%20GMT	https://www.ezglobalyazilim.com/websanat/favicon.png	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/websanat/favicon.png	(from https://www.ezglobalyazilim.com/index.html)
14:49:18	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/My%20Web%20Sites/Lykware/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:18	116980/116980	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:22%20GMT	https://www.ezglobalyazilim.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/css/bootstrap.min.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:18	84490/84490	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:22%20GMT	https://www.ezglobalyazilim.com/assets/css/style.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/css/style.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:18	7143/7143	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:22%20GMT	https://www.ezglobalyazilim.com/assets/css/responsive.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/css/responsive.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:19	56048/56048	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:33%20GMT	https://www.ezglobalyazilim.com/assets/plugins/animate.css-master/animate.min.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/animate.css-master/animate.min.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:19	3714/3714	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:35%20GMT	https://www.ezglobalyazilim.com/assets/plugins/lightbox2-master/dist/css/lightbox.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/lightbox2-master/dist/css/lightbox.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:19	56417/56417	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:22%20GMT	https://www.ezglobalyazilim.com/assets/css/video-js.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/css/video-js.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:19	7936/7936	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:33%20GMT	https://www.ezglobalyazilim.com/assets/plugins/jquery-date-range-picker-master/dist/daterangepicker.min.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/jquery-date-range-picker-master/dist/daterangepicker.min.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:20	6741/6741	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffe-1a55%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	C:/My%20Web%20Sites/Lykware/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:20	1776/1776	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:34%20GMT	https://www.ezglobalyazilim.com/assets/plugins/slick-1.8.0/slick/slick.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/slick-1.8.0/slick/slick.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:21	3137/3137	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:34%20GMT	https://www.ezglobalyazilim.com/assets/plugins/slick-1.8.0/slick/slick-theme.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/slick-1.8.0/slick/slick-theme.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:21	1997/1997	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:34%20GMT	https://www.ezglobalyazilim.com/assets/plugins/slider/css/normalize.min.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/slider/css/normalize.min.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:21	18216/18216	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:50:34%20GMT	https://www.ezglobalyazilim.com/assets/plugins/slider/css/smartslider.min.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/slider/css/smartslider.min.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:21	20073/20073	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2015:51:09%20GMT	https://www.ezglobalyazilim.com/websanat/anasayfa.css	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/websanat/anasayfa.css	(from https://www.ezglobalyazilim.com/index.html)
14:49:21	12139/12139	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2015:51:09%20GMT	https://www.ezglobalyazilim.com/websanat/anasayfa.js	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/websanat/anasayfa.js	(from https://www.ezglobalyazilim.com/index.html)
14:49:22	99988/99988	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2015:50:34%20GMT	https://www.ezglobalyazilim.com/assets/plugins/slider/js/n2-j.min.js	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/slider/js/n2-j.min.js	(from https://www.ezglobalyazilim.com/index.html)
14:49:22	97289/97289	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2015:50:34%20GMT	https://www.ezglobalyazilim.com/assets/plugins/slider/js/nextend-gsap.min.js	C:/My%20Web%20Sites/Lykware/www.ezglobalyazilim.com/assets/plugins/slider/js/nextend-gsap.min.js	(from https://www.ezglobalyazilim.com/index.html)
